name,height_in_cm,market_value_in_eur
Kaishu Sano,176,40000000.0
Ismael Saibari,185,40000000.0
Karim Adeyemi,180,40000000.0
Lamine Camara,174,40000000.0
Xavi Simons,179,40000000.0
Ilya Zabarnyi,189,40000000.0
Pape Gueye,189,40000000.0
Christoph Baumgartner,180,40000000.0
Jarrad Branthwaite,195,40000000.0
Nathaniel Brown,176,40000000.0
Antony,172,40000000.0
Nico Williams,181,40000000.0
Wesley,178,40000000.0
Boubacar Kamara,184,40000000.0
Endrick,172,40000000.0
Michael Kayode,179,40000000.0
Álex Baena,172,40000000.0
Folarin Balogun,179,40000000.0
Bazoumana Touré,178,40000000.0
Marcus Rashford,185,40000000.0
Tom Bischof,176,40000000.0
Jørgen Strand Larsen,193,40000000.0
Christian Pulisic,177,40000000.0
Giuliano Simeone,174,40000000.0
Christian Kofane,189,40000000.0
Jamie Leweling,185,40000000.0
Gonçalo Inácio,185,40000000.0
Gregor Kobel,196,40000000.0
Giorgio Scalvini,194,38000000.0
Rodrigo Mora,168,38000000.0
Khéphren Thuram,192,38000000.0
Vitor Roque,174,38000000.0
Curtis Jones,185,35000000.0
Dango Ouattara,177,35000000.0
Konstantinos Karetsas,173,35000000.0
Ange-Yoan Bonny,189,35000000.0
Joaquín Panichelli,190,35000000.0
Mile Svilar,189,35000000.0
Jacob Ramsey,180,35000000.0
Gerard Martín,186,35000000.0
Edmond Tapsoba,194,35000000.0
Senne Lammens,193,35000000.0
Malo Gusto,178,35000000.0
Joshua Kimmich,177,35000000.0
Yasin Ayari,172,35000000.0
Marco Palestra,186,35000000.0
Máximo Perrone,177,35000000.0
Maxi Araújo,176,35000000.0
Ethan Nwaneri,176,35000000.0
Evan Ndicka,192,35000000.0
Jeremie Frimpong,172,35000000.0
Matias Fernandez-Pardo,188,35000000.0
Noah Sadiki,165,35000000.0
Matías Soulé,182,35000000.0
Ferdi Kadıoğlu,174,35000000.0
Sven Botman,193,35000000.0
Bilal El Khannouss,180,35000000.0
Finn Jeltsch,188,35000000.0
Jakub Kiwior,189,35000000.0
Patrick Dorgu,185,35000000.0
Evanilson,183,35000000.0
Kiernan Dewsbury-Hall,176,35000000.0
Crysencio Summerville,172,35000000.0
Kevin Schade,185,35000000.0
Dušan Vlahović,190,35000000.0
Fisnik Asllani,191,35000000.0
Bremer,188,35000000.0
Lucas Bergvall,187,35000000.0
Marc Pubill,191,35000000.0
Frenkie de Jong,181,35000000.0
Habib Diarra,178,35000000.0
Mika Godts,176,35000000.0
Pedro Porro,173,35000000.0
Brahim Díaz,170,35000000.0
Savinho,176,35000000.0
Dávid Hancko,188,35000000.0
Archie Gray,187,35000000.0
Milos Kerkez,180,35000000.0
Estéban Lepaul,181,35000000.0
Bruno Fernandes,183,35000000.0
Igor Paixão,168,35000000.0
Joel Ordóñez,188,33000000.0
Alan Varela,177,32000000.0
Dan Ndoye,184,32000000.0
Konrad Laimer,180,32000000.0
Anthony Elanga,178,32000000.0
Danilo,177,32000000.0
Aleksandar Stanković,185,32000000.0
Yegor Yarmolyuk,180,32000000.0
Sepp van den Berg,192,32000000.0
Serhou Guirassy,187,32000000.0
Santiago Castro,179,32000000.0
Antonio Nusa,183,32000000.0
Lucas Paquetá,183,32000000.0
Moise Kean,183,32000000.0
Conor Gallagher,182,32000000.0
Harvey Barnes,182,32000000.0
Pierre Kalulu,182,32000000.0
Pape Matar Sarr,185,30000000.0
Ethan Ampadu,182,30000000.0
Rômulo,193,30000000.0
Ben White,186,30000000.0
Gabri Veiga,185,30000000.0
Jonathan David,178,30000000.0
Vitor Reis,186,30000000.0
Niccolò Pisilli,180,30000000.0
Rodrigo Zalazar,175,30000000.0
Marc Bernal,193,30000000.0
Jamie Gittens,178,30000000.0
Barış Alper Yılmaz,186,30000000.0
Brian Brobbey,181,30000000.0
Matthijs de Ligt,189,30000000.0
Brennan Johnson,186,30000000.0
Nathan Collins,193,30000000.0
Destiny Udogie,188,30000000.0
Diogo Dalot,184,30000000.0
Robin Risser,193,30000000.0
Malick Fofana,169,30000000.0
Jarrod Bowen,176,30000000.0
Mateo Retegui,186,30000000.0
Gavi,173,30000000.0
Mikel Jauregizar,177,30000000.0
Jonathan Burkardt,181,30000000.0
Georges Mikautadze,176,30000000.0
Jesús Rodríguez,185,30000000.0
Andreas Schjelderup,177,30000000.0
Leon Avdullahu,185,30000000.0
Martin Baturina,172,30000000.0
Ibrahim Mbaye,175,30000000.0
Djed Spence,184,30000000.0
Gonçalo Ramos,185,30000000.0
Malik Tillman,187,30000000.0
Mikkel Damsgaard,180,30000000.0
Luis Suárez,179,30000000.0
Rio Ngumoha,170,30000000.0
Georginio Rutter,182,30000000.0
Matvey Safonov,192,30000000.0
Yéremy Pino,174,30000000.0
Max Dowman,183,30000000.0
Omari Hutchinson,174,30000000.0
Nikola Krstović,185,30000000.0
Fabián Ruiz,188,30000000.0
Alessandro Buongiorno,190,30000000.0
Mario Gila,185,30000000.0
Tomás Araújo,187,30000000.0
Marco Carnesecchi,191,30000000.0
Assane Diao,185,30000000.0
Tyler Morton,185,30000000.0
Callum Hudson-Odoi,178,30000000.0
Ricardo Pepi,185,30000000.0
Honest Ahanor,184,30000000.0
Gonzalo García,182,30000000.0
Víctor Muñoz,173,30000000.0
Charles De Ketelaere,192,30000000.0
Jacobo Ramón,196,30000000.0
Thierno Barry,195,30000000.0
Adrien Truffert,176,30000000.0
Jean-Philippe Mateta,192,30000000.0
Youri Tielemans,176,30000000.0
Francisco Conceição,166,30000000.0
Weston McKennie,180,30000000.0
Ian Maatsen,178,30000000.0
David Raya,186,30000000.0
Ayden Heaven,189,30000000.0
Liam Delap,186,28000000.0
Jonathan Tah,195,28000000.0
Taty Castellanos,178,28000000.0
Caoimhín Kelleher,188,28000000.0
Jack Hinshelwood,182,28000000.0
Jonathan Rowe,173,28000000.0
Wesley Fofana,188,28000000.0
Aleksey Batrakov,173,28000000.0
Djordje Petrovic,194,28000000.0
Assan Ouédraogo,191,28000000.0
Oscar Bobb,177,28000000.0
Marquinhos,183,28000000.0
El Hadji Malick Diouf,177,28000000.0
Dilane Bakwa,180,28000000.0
Chris Richards,189,28000000.0
Vangelis Pavlidis,186,28000000.0
Nikola Milenković,195,28000000.0
William Osula,191,28000000.0
Karim Coulibaly,191,28000000.0
Amine Gouiri,180,28000000.0
Calvin Bassey,185,28000000.0
Alisson Santos,177,28000000.0
Brajan Gruda,178,28000000.0
Anton Stach,194,28000000.0
Maxime Estève,193,28000000.0
Rico Lewis,170,28000000.0
Robin Roefs,193,28000000.0
Hugo Larsson,187,28000000.0
João Félix,179,28000000.0
Enzo Le Fée,173,28000000.0
Neco Williams,183,28000000.0
Dominic Solanke,186,28000000.0
Dean Henderson,188,28000000.0
Giorgi Mamardashvili,197,28000000.0
Zeno Debast,191,28000000.0
Matteo Ruggeri,187,28000000.0
Jaydee Canvot,188,28000000.0
Alejandro Garnacho,180,28000000.0
Kang-in Lee,174,28000000.0
Gabriel Sara,177,27000000.0
Mattéo Guendouzi,185,27000000.0
Nathan De Cat,192,27000000.0
Orkun Kökçü,175,25000000.0
Nicolò Tresoldi,186,25000000.0
Kurt Zouma,190,25000000.0
Hákon Arnar Haraldsson,178,25000000.0
Arnaud Kalimuendo,178,25000000.0
Ollie Watkins,180,25000000.0
Chris Rigg,177,25000000.0
Eduard Spertsyan,178,25000000.0
Anastasios Douvikas,186,25000000.0
Lucas Chevalier,189,25000000.0
Javi Guerra,187,25000000.0
Bafodé Diakité,184,25000000.0
Mike Penders,200,25000000.0
Mats Wieffer,189,25000000.0
Flaco López,190,25000000.0
Jon Martín,187,25000000.0
Matvey Kislyak,180,25000000.0
Diego Moreira,179,25000000.0
Marcus Tavernier,178,25000000.0
Denis Zakaria,189,25000000.0
David Raum,181,25000000.0
Oihan Sancet,188,25000000.0
Loïs Openda,177,25000000.0
Jean-Mattéo Bahoya,180,25000000.0
Anatoliy Trubin,199,25000000.0
Exequiel Palacios,177,25000000.0
Tyler Adams,175,25000000.0
Ismaël Koné,188,25000000.0
Sander Berge,195,25000000.0
Ernest Poku,176,25000000.0
Christopher Nkunku,177,25000000.0
Vasilije Kostov,176,25000000.0
Josh Acheampong,190,25000000.0
William Gomes,171,25000000.0
Nathan Ngoy,183,25000000.0
Oskar Pietuszewski,179,25000000.0
Denzel Dumfries,188,25000000.0
Troy Parrott,185,25000000.0
Keane Lewis-Potter,170,25000000.0
Josh King,173,25000000.0
André,176,25000000.0
Kees Smit,185,25000000.0
Samson Baidoo,190,25000000.0
Lewis Miley,189,25000000.0
Manuel Locatelli,185,25000000.0
Christos Mouzakitis,180,25000000.0
Kevin,176,25000000.0
Moussa Diaby,170,25000000.0
Mikel Oyarzabal,181,25000000.0
Renato Veiga,188,25000000.0
Tyrick Mitchell,181,25000000.0
Arthur Atta,189,25000000.0
António Silva,187,25000000.0
Joelinton,186,25000000.0
Rúben Neves,183,25000000.0
Georgiy Sudakov,177,25000000.0
Natan,188,25000000.0
James Trafford,192,25000000.0
Julian Ryerson,183,25000000.0
Gustavo Sá,189,25000000.0
Manuel Ugarte,182,25000000.0
Kenneth Taylor,182,25000000.0
Marcos Senesi,184,25000000.0
Richarlison,184,25000000.0
Tarik Muharemović,192,25000000.0
Evann Guessand,188,25000000.0
Harry Wilson,173,25000000.0
Mason Mount,181,25000000.0
Julio Enciso,173,25000000.0
Richard Ríos,185,25000000.0
Ramon Hendriks,189,25000000.0
Gianluca Scamacca,195,25000000.0
Pedro Gonçalves,173,25000000.0
Mikel Merino,188,25000000.0
Vitaliy Mykolenko,180,25000000.0
Justin Kluivert,173,25000000.0
Nicolas Seiwald,179,25000000.0
Noah Atubolu,190,25000000.0
Carlos Romero,174,25000000.0
Albian Hajdari,189,25000000.0
Quinten Timber,176,25000000.0
Givairo Read,175,25000000.0
Jon Gorrotxategi,177,25000000.0
Kaio Jorge,182,25000000.0
Noah Okafor,185,25000000.0
Chemsdine Talbi,175,25000000.0
Giovanni Leoni,196,25000000.0
Geny Catamo,172,25000000.0
Yoane Wissa,176,25000000.0
Ardon Jashari,181,25000000.0
Igor Jesus,179,25000000.0
Emmanuel Emegha,196,25000000.0
Charlie Cresswell,190,25000000.0
Konstantinos Koulierakis,188,25000000.0
Tylel Tati,192,25000000.0
Conor Bradley,181,25000000.0
Diego Gómez,183,25000000.0
Enzo Millot,175,25000000.0
Joey Veerman,185,25000000.0
Charalampos Kostoulas,185,25000000.0
Luiz Henrique,182,24000000.0
Yuito Suzuki,175,24000000.0
Anan Khalaili,183,23000000.0
James Hill,184,23000000.0
Wilfried Singo,182,23000000.0
Yuri Alberto,183,23000000.0
Oumar Solet,192,23000000.0
Koni De Winter,191,23000000.0
Carlos Augusto,184,23000000.0
Nicolò Rovella,179,23000000.0
Lloyd Kelly,189,23000000.0
Neil El Aynaoui,185,23000000.0
David Neres,176,23000000.0
Youssouf Fofana,185,23000000.0
Anis Hadj Moussa,176,23000000.0
Raphael Onyedika,184,23000000.0
Christ Inao Oulaï,173,23000000.0
Jean-Clair Todibo,190,22000000.0
Chrislain Matsima,193,22000000.0
Kaoru Mitoma,178,22000000.0
Martial Godo,177,22000000.0
Pascal Struijk,190,22000000.0
Lucas Beraldo,186,22000000.0
Deniz Undav,179,22000000.0
Noa Lang,176,22000000.0
Unai Simón,190,22000000.0
Antonee Robinson,183,22000000.0
Giacomo Raspadori,172,22000000.0
Lesley Ugochukwu,190,22000000.0
Samir El Mourabet,187,22000000.0
Davide Frattesi,178,22000000.0
Miguel Gutiérrez,180,22000000.0
Ladislav Krejci,191,22000000.0
Daniel Svensson,183,22000000.0
Mohamed Salah,175,22000000.0
Isak Hien,191,22000000.0
Roméo Lavia,181,22000000.0
Giannis Konstantelias,178,22000000.0
Brenden Aaronson,177,22000000.0
Davide Bartesaghi,193,22000000.0
Ryan Sessegnon,178,22000000.0
Dominic Calvert-Lewin,189,22000000.0
Sam Beukema,188,22000000.0
Bernardo Silva,173,22000000.0
Mathys Tel,183,22000000.0
Álex Jiménez,177,22000000.0
